chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NES_E_S_1	NES_E_S_2	NES_E_S_3	NES_E_S_4
chr1	   629505	   629525	chr1-594	  135.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0003662875	3	3	3	3	2	2	1	2	2	4	3	2	2	2	2	2	38	0	0	8.283288e-06	5.311812e-06
chr1	   629595	   629615	chr1-916	   43.20	+				UnAn	UnAn	0	0.0001513518	1	3	3	3	2	2	1	2	1	3	1	3	1	2	1	0	29	0	0	4.141644e-06	1.770604e-06
chr1	   630726	   630746	chr1-705	  144.60	+				UnAn	UnAn	0	0.0004951631	3	2	3	3	2	2	2	2	3	3	3	3	1	3	3	1	39	2.614037e-05	0	4.141644e-06	8.85302e-06
chr1	   630764	   630784	chr1-1945	   51.10	-	ENSG00000230021		intron	intron	intron	1	0.0001324445	3	2	3	2	2	2	2	2	2	3	2	2	1	2	2	0	32	0	0	4.141644e-06	1.770604e-06
chr1	   630832	   630852	chr1-1187	  150.70	-	ENSG00000230021		intron	intron	intron	1	0.0004253342	3	3	3	3	2	2	2	2	2	4	3	2	0	2	1	0	34	0	0	1.242493e-05	3.541208e-06
chr1	   632723	   632743	chr1-2231	   24.70	+				UnAn	UnAn	0	0.0001119267	1	2	3	0	1	2	1	0	1	2	0	2	1	2	0	0	18	0	0	2.070822e-06	1.770604e-06
chr1	   633504	   633524	chr1-229	  240.20	+				UnAn	UnAn	0	0.0006763169	3	2	3	3	2	2	2	1	3	3	2	2	2	2	2	2	36	0	0	2.484987e-05	1.239423e-05
chr1	  5190646	  5190666	chr1-20649	    4.41	-			TE|unannotated	TE	TE	2	1.998749e-05	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1	1	7	0	0	2.070822e-06	1.770604e-06
chr1	  5674673	  5674693	chr1-45710	    2.20	-			TE	TE	TE	1	7.507488e-06	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	4	0	0	2.070822e-06	1.770604e-06
chr1	  5784678	  5784698	chr1-24605	    4.41	+			TE|unannotated	TE	TE	2	2.621039e-05	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	2	8	0	0	2.070822e-06	1.770604e-06
chr1	  6224059	  6224079	chr1-21787	    3.97	-	ENSG00000116237	ICMT	3'UTR	3'UTR	3'UTR	1	4.626057e-05	0	1	2	3	0	0	0	0	1	0	0	0	0	2	0	0	9	2.614037e-05	1.312112e-05	0	0
chr1	  7832839	  7832859	chr1-46801	    2.20	-			TE	TE	TE	1	7.056984e-06	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	0	2.070822e-06	3.541208e-06
chr1	  8012243	  8012263	chr1-122	  249.00	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	0.0008644778	3	3	3	3	2	2	1	1	2	3	1	2	1	2	4	5	38	5.228075e-05	1.312112e-05	0	0
chr1	  8277860	  8277880	chr1-44050	    2.20	-			TE|unannotated	TE	TE	2	1.441642e-05	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	5	0	0	2.070822e-06	1.770604e-06
chr1	  8391086	  8391106	chr1-861	   41.90	-	ENSG00000142599	RERE	intron	intron	intron	1	0.0001231349	3	3	3	3	1	1	1	1	1	2	0	0	0	2	1	1	23	2.614037e-05	1.312112e-05	0	0
chr1	  8520753	  8520773	chr1-15526	    5.73	+			Other	Other	Other	1	2.935535e-05	0	0	0	0	1	1	1	0	0	0	0	1	0	2	1	2	9	0	0	2.070822e-06	1.770604e-06
