chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NES_E_M_1	NES_E_M_2	NES_E_M_3	NES_E_M_4
chr1	   629505	   629525	chr1-594	  135.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0003662875	3	3	3	3	2	2	1	2	2	4	3	2	2	2	2	2	38	0	3.972747e-05	1.748863e-05	0
chr1	   633504	   633524	chr1-229	  240.20	+				UnAn	UnAn	0	0.0006763169	3	2	3	3	2	2	2	1	3	3	2	2	2	2	2	2	36	0	0	2.623295e-05	2.844006e-05
chr1	  2308619	  2308639	chr1-149	  119.90	+	ENSG00000157933	SKI	3'UTR	3'UTR	3'UTR	1	0.0003921727	3	3	3	3	2	2	1	1	1	3	0	2	2	1	1	3	31	0	1.986373e-05	0	9.480021e-06
chr1	  8883488	  8883508	chr1-6504	   19.00	-	ENSG00000201725	RNU6-304P	snRNA	snRNA	ncRNA	1	6.733948e-05	0	0	0	0	1	1	0	0	0	0	1	1	2	2	1	0	9	0	0	1.748863e-05	1.896004e-05
chr1	  9730072	  9730092	chr1-61	  297.00	-	ENSG00000171603	CLSTN1	3'UTR	3'UTR	3'UTR	1	0.001176855	3	3	3	3	2	2	2	1	2	4	1	2	2	1	3	5	39	0	1.986373e-05	0	9.480021e-06
chr1	  9927986	  9928006	chr1-4389	   12.80	-	ENSG00000162441	LZIC	3'UTR|intron	3'UTR	3'UTR	2	7.340372e-05	0	3	3	3	0	1	0	1	1	2	0	0	2	0	0	0	16	2.643335e-05	1.986373e-05	0	0
chr1	 10298999	 10299019	chr1-483	   44.10	+	ENSG00000054523	KIF1B	downstream 10K|intron|snRNA	snRNA	ncRNA	3	0.0002230035	3	3	3	1	1	2	2	1	1	4	2	2	2	2	0	1	30	0	0	1.748863e-05	9.480021e-06
chr1	 16124378	 16124398	chr1-98	  167.90	-	ENSG00000142627	EPHA2	3'UTR	3'UTR	3'UTR	1	0.0009334687	3	3	3	3	2	2	2	2	3	4	1	2	2	0	5	4	41	2.643335e-05	0	0	9.480021e-06
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	2.643335e-05	0	0	9.480021e-06
chr1	 16666916	 16666936	chr1-593	   70.50	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0005754198	3	3	3	3	2	2	2	1	3	3	4	4	3	3	1	2	42	5.28667e-05	1.986373e-05	0	1.896004e-05
chr1	 16740528	 16740548	chr1-566	   81.50	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0007500836	3	3	1	3	2	2	2	1	2	4	4	4	2	3	2	3	41	2.643335e-05	0	0	9.480021e-06
chr1	 17408858	 17408878	chr1-316	   92.50	-	ENSG00000179051	RCC2	3'UTR|intron	3'UTR	3'UTR	2	0.0003384223	3	3	3	3	2	2	1	1	0	4	1	2	2	0	3	3	33	2.643335e-05	1.986373e-05	0	0
chr1	 18485895	 18485915	chr1-441	   87.30	+	ENSG00000179023	KLHDC7A	3'UTR	3'UTR	3'UTR	1	0.0002129019	1	3	3	3	1	2	0	1	1	3	0	0	2	1	1	4	26	0	1.986373e-05	8.744316e-06	0
chr1	 22091811	 22091831	chr1-4	 1036.60	+	ENSG00000070831	CDC42	3'UTR|Other	3'UTR	3'UTR	2	0.00333069	3	3	3	3	2	2	2	2	2	4	2	4	2	4	4	6	48	0	3.972747e-05	0	1.896004e-05
chr1	 24672754	 24672774	chr1-937	   80.70	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0003775743	3	3	3	3	2	2	1	1	1	3	2	1	2	0	3	4	34	5.28667e-05	1.986373e-05	0	0
chr1	 24672984	 24673004	chr1-12	  415.60	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.001487854	3	3	3	3	2	2	2	2	3	4	4	3	3	3	3	6	49	0	3.972747e-05	8.744316e-06	9.480021e-06
chr1	 24673200	 24673220	chr1-56	  152.50	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.0006324224	3	3	3	3	2	2	1	1	2	4	3	2	2	0	3	4	38	0	0	1.748863e-05	9.480021e-06
chr1	 26475252	 26475272	chr1-3	 1345.50	+	ENSG00000198830	HMGN2	3'UTR|Other	3'UTR	3'UTR	2	0.004038086	3	3	3	3	2	2	2	2	3	4	4	3	2	4	4	7	51	0	1.986373e-05	8.744316e-06	0
chr1	 27326453	 27326473	chr1-2617	   20.70	+	ENSG00000186501	TMEM222	intron	intron	intron	1	6.091792e-05	2	3	3	3	1	1	1	1	0	2	0	0	2	0	0	0	19	0	0	8.744316e-06	9.480021e-06
chr1	 28507544	 28507564	chr1-1306	  142.80	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0007232589	3	3	3	2	2	2	2	2	3	4	4	3	2	3	2	3	43	2.643335e-05	0	1.748863e-05	0
chr1	 28508735	 28508755	chr1-2676	   62.60	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0005036896	3	3	3	1	2	2	2	2	1	4	3	2	2	2	2	0	34	2.643335e-05	1.986373e-05	0	0
chr1	 30935695	 30935715	chr1-350	  249.90	-	ENSG00000134644	PUM1	downstream 10K|intron	intron	intron	2	0.0007181744	3	3	1	1	2	2	2	2	2	2	3	3	2	4	2	2	36	0	0	2.623295e-05	9.480021e-06
chr1	 30949124	 30949144	chr1-336	  249.00	-	ENSG00000134644	PUM1	downstream 10K|intron	intron	intron	2	0.0006576986	3	3	1	0	2	2	2	1	2	2	3	2	2	3	2	1	31	0	0	2.623295e-05	1.896004e-05
