chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_E_M_1	NLS_E_M_2	NLS_E_M_3	NLS_E_M_4
chr1	   629505	   629525	chr1-594	  135.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0003662875	3	3	3	3	2	2	1	2	2	4	3	2	2	2	2	2	38	0	1.366858e-05	2.269637e-05	2.512747e-05
chr1	   630726	   630746	chr1-705	  144.60	+				UnAn	UnAn	0	0.0004951631	3	2	3	3	2	2	2	2	3	3	3	3	1	3	3	1	39	4.927298e-06	0	3.026182e-05	2.512747e-05
chr1	   630764	   630784	chr1-1945	   51.10	-	ENSG00000230021		intron	intron	intron	1	0.0001324445	3	2	3	2	2	2	2	2	2	3	2	2	1	2	2	0	32	0	0	5.674092e-06	6.281867e-06
chr1	   630832	   630852	chr1-1187	  150.70	-	ENSG00000230021		intron	intron	intron	1	0.0004253342	3	3	3	3	2	2	2	2	2	4	3	2	0	2	1	0	34	4.927298e-06	0	1.891364e-05	1.465769e-05
chr1	   630949	   630969	chr1-4541	   13.20	-	ENSG00000230021		intron	intron	intron	1	5.309921e-05	1	0	0	1	1	1	0	1	0	1	2	1	1	1	1	0	12	0	0	1.891364e-06	2.093956e-06
chr1	   631098	   631118	chr1-4114	   11.50	+	ENSG00000237973	MTCO1P12		UnAn	UnAn	0	3.533528e-05	0	1	2	3	2	2	0	1	1	0	2	1	0	1	0	0	16	0	0	5.674092e-06	6.281867e-06
chr1	   632630	   632650	chr1-3390	   35.30	-	ENSG00000230021		intron|tRNA	tRNA	ncRNA	2	0.0001060543	3	0	3	3	2	2	2	0	0	3	2	3	1	0	2	0	26	0	0	7.565455e-06	4.187912e-06
chr1	   633504	   633524	chr1-229	  240.20	+				UnAn	UnAn	0	0.0006763169	3	2	3	3	2	2	2	1	3	3	2	2	2	2	2	2	36	0	0	6.80891e-05	5.234889e-05
chr1	   634136	   634156	chr1-3362	   12.80	+	ENSG00000248527	MTATP6P1		UnAn	UnAn	0	5.073796e-05	3	1	3	1	2	1	1	1	1	3	2	1	0	0	0	0	20	0	6.834289e-06	0	2.093956e-06
chr1	  1391202	  1391222	chr1-1060	   29.10	-	ENSG00000221978	CCNL2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001192887	3	3	3	3	2	2	1	0	1	3	2	0	0	0	1	1	25	4.927298e-06	0	0	2.093956e-06
chr1	  1854433	  1854453	chr1-8354	    7.05	-	ENSG00000078369	GNB1	intron	intron	intron	1	2.373633e-05	3	1	1	2	2	0	0	0	0	1	2	0	0	0	0	0	12	0	6.834289e-06	1.891364e-06	0
chr1	  1856833	  1856853	chr1-2381	   29.50	-	ENSG00000078369	GNB1	intron	intron	intron	1	6.511038e-05	3	3	3	3	2	1	1	0	1	2	2	1	0	0	1	0	23	0	6.834289e-06	5.674092e-06	0
chr1	  1863589	  1863609	chr1-3078	   17.60	-	ENSG00000078369	GNB1	intron	intron	intron	1	5.711659e-05	2	3	3	3	1	1	1	1	0	3	2	0	0	0	0	1	21	4.927298e-06	6.834289e-06	0	0
chr1	  1877465	  1877485	chr1-45112	    3.08	-	ENSG00000078369	GNB1	intron	intron	intron	1	1.291849e-05	0	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	6	0	6.834289e-06	0	2.093956e-06
chr1	  1877665	  1877685	chr1-8181	    7.05	-	ENSG00000078369	GNB1	intron	intron	intron	1	2.085627e-05	2	1	1	2	0	1	1	0	0	2	2	0	0	0	1	0	13	0	0	1.891364e-06	2.093956e-06
