chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_S_1	G3BP_E_S_2	G3BP_E_S_3	G3BP_E_S_4	G3BP_E_S_5	G3BP_E_S_6	G3BP_E_S_7
chr1	   944241	   944261	chr1-179	  185.10	-	ENSG00000188976	NOC2L	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0005029795	3	3	3	3	2	2	1	1	1	3	1	2	0	0	3	3	31	0	4.96154e-06	5.721566e-06	0	3.563538e-05	0	0
chr1	  1731566	  1731586	chr1-1644	   22.00	-	ENSG00000268575		intron|lncRNA	lncRNA	ncRNA	2	0.0002415232	3	3	3	3	1	2	0	1	2	3	0	0	1	1	2	3	28	0	1.653847e-06	3.814377e-06	1.127307e-05	0	0	0
chr1	  1785801	  1785821	chr1-774	   37.90	-	ENSG00000078369	GNB1	3'UTR	3'UTR	3'UTR	1	8.904916e-05	1	3	3	3	0	1	0	0	0	2	0	0	0	1	1	3	18	0	3.307693e-06	1.907189e-06	0	0	0	1.49363e-05
chr1	  2307713	  2307733	chr1-532	   47.60	+	ENSG00000157933	SKI	3'UTR	3'UTR	3'UTR	1	0.0002407318	3	3	3	3	2	2	1	1	1	3	0	0	1	1	1	4	29	0	4.96154e-06	7.628754e-06	3.38192e-05	0	1.707971e-05	0
chr1	  2308619	  2308639	chr1-149	  119.90	+	ENSG00000157933	SKI	3'UTR	3'UTR	3'UTR	1	0.0003921727	3	3	3	3	2	2	1	1	1	3	0	2	2	1	1	3	31	0	1.157693e-05	3.814377e-06	5.636534e-05	0	0	0
chr1	  7238155	  7238175	chr1-9335	    7.49	-			TE|unannotated	TE	TE	2	9.957476e-05	0	0	2	2	1	1	0	0	0	2	1	0	0	1	1	3	14	7.605141e-05	0	1.907189e-06	0	0	8.539856e-06	0
chr1	  8012243	  8012263	chr1-122	  249.00	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	0.0008644778	3	3	3	3	2	2	1	1	2	3	1	2	1	2	4	5	38	0	3.307693e-06	5.721566e-06	3.38192e-05	7.127076e-05	0	2.987259e-05
chr1	  8488081	  8488101	chr1-7121	    9.70	+			TE|unannotated	TE	TE	2	4.750112e-05	0	0	3	1	1	1	2	0	0	1	1	0	1	1	1	3	16	0	1.653847e-06	3.814377e-06	0	0	8.539856e-06	0
chr1	  8591423	  8591443	chr1-9085	    7.49	+			Other|unannotated	Other	Other	2	0.000101927	2	2	1	1	0	0	0	0	0	1	1	0	0	1	1	3	13	7.605141e-05	0	1.907189e-06	0	0	8.539856e-06	0
chr1	  8893902	  8893922	chr1-7047	    9.70	+	ENSG00000238249	HMGN2P17		UnAn	UnAn	0	5.884943e-05	0	0	2	1	0	2	1	0	0	3	0	0	1	1	1	3	15	0	1.653847e-06	1.907189e-06	1.127307e-05	0	0	0
