chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_M_1	G3BP_E_M_2	G3BP_E_M_3	G3BP_E_M_4	G3BP_E_M_5	G3BP_E_M_6
chr1	   630726	   630746	chr1-705	  144.60	+				UnAn	UnAn	0	0.0004951631	3	2	3	3	2	2	2	2	3	3	3	3	1	3	3	1	39	0	6.610259e-06	0	0	5.983796e-06	3.177209e-06
chr1	   944241	   944261	chr1-179	  185.10	-	ENSG00000188976	NOC2L	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0005029795	3	3	3	3	2	2	1	1	1	3	1	2	0	0	3	3	31	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr1	  8012243	  8012263	chr1-122	  249.00	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	0.0008644778	3	3	3	3	2	2	1	1	2	3	1	2	1	2	4	5	38	0	1.983078e-05	6.775068e-05	0	2.991898e-06	5.295348e-06
chr1	  9730072	  9730092	chr1-61	  297.00	-	ENSG00000171603	CLSTN1	3'UTR	3'UTR	3'UTR	1	0.001176855	3	3	3	3	2	2	2	1	2	4	1	2	2	1	3	5	39	0	0	6.775068e-05	0	5.983796e-06	4.236278e-06
chr1	 10324665	 10324685	chr1-1510	   21.20	+	ENSG00000054523	KIF1B	intron	intron	intron	1	6.913795e-05	2	3	2	3	0	1	0	0	1	2	0	0	0	0	3	0	17	0	1.983078e-05	0	0	1.495949e-05	2.118139e-06
chr1	 10459713	 10459733	chr1-116	  120.80	-	ENSG00000160049	DFFA	3'UTR	3'UTR	3'UTR	1	0.0004525232	3	3	3	3	1	2	1	1	1	3	0	2	1	0	3	4	31	0	5.288207e-05	0	0	1.795139e-05	9.531626e-06
chr1	 10587905	 10587925	chr1-1656	   32.60	-			unannotated	UnAn	UnAn	1	0.0004629832	1	0	2	1	1	1	1	1	0	1	2	2	0	2	4	3	22	0.0001579779	3.30513e-05	0	0	8.975694e-06	1.05907e-06
chr1	 12928920	 12928940	chr1-1754	   27.80	+			downstream 10K|Other	Other	Other	2	0.0005752973	1	1	1	0	1	1	0	0	0	1	2	1	0	2	3	4	18	0.0001579779	1.983078e-05	0	0	0	3.177209e-06
chr1	 13272855	 13272875	chr1-1639	   26.40	-			downstream 10K	DS10K	DS10K	1	0.0004112	0	1	0	1	1	1	0	0	0	2	1	1	0	2	3	3	16	0.0001579779	1.983078e-05	0	0	0	4.236278e-06
chr1	 15632918	 15632938	chr1-3789	   16.30	-			TE|unannotated	TE	TE	2	0.000316495	0	0	0	1	1	1	0	0	0	2	1	1	0	2	3	4	16	0.0001579779	1.983078e-05	0	0	0	2.118139e-06
chr1	 16124378	 16124398	chr1-98	  167.90	-	ENSG00000142627	EPHA2	3'UTR	3'UTR	3'UTR	1	0.0009334687	3	3	3	3	2	2	2	2	3	4	1	2	2	0	5	4	41	0	1.322052e-05	6.775068e-05	0.0002145002	5.983796e-06	4.236278e-06
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	0	0	6.775068e-05	0.0002145002	2.991898e-06	2.118139e-06
