RBP,SI,MS
A1CF,6.77414107891264,0.679154407290681
AKAP8L,1.93466317795912,0.311412953912767
APOBEC3C,2.06247556229502,0.305456438788567
BOLL,11.1768877774572,0.532896068818628
CNOT4,4.0526408643807,0.488248454150389
CPEB1,6.66880779300654,0.698942735211255
DAZ3,6.3594856560451,0.518641095491746
DAZAP1,4.36627701185897,0.389437248914522
EIF3D,2.36505932283798,0.326366947763949
EIF4G2,1.73920115814909,0.31536487405293
ELAVL4,22.5970826934301,0.565430147143911
ESRP1,2.89996283408967,0.305407032096373
EWSR1,2.63164694791137,0.209458719445291
FUBP1,2.60037354703555,0.246954757881651
FUBP3,5.89392560536525,0.417421975786395
FUS,1.88862986168447,0.100015462729316
HNRNPA0,6.80458953399444,0.688354189984165
HNRNPA2B1,2.15724640951222,0.362165818736687
HNRNPC,24.2632862755943,0.843614519759757
HNRNPCL1,20.0462053205339,0.787389228117953
HNRNPDL,2.43205411994507,0.332528867191123
HNRNPH2,9.15491643354841,0.620899962596992
HNRNPK,2.09314041600549,0.260869791642453
HNRNPL,7.40733833548389,0.614775385811676
IGF2BP3,2.51129858157126,0.303817315759779
ILF2,3.17892761114304,0.321210766653925
KHDRBS2,15.3283084716298,0.676761821596027
KHDRBS3,6.49038806880396,0.606337544117941
KHSRP,2.00147091285293,0.216480212437653
LIN28B,3.97052370891871,0.280885262309694
MSI1,5.37963654290735,0.571836451581626
NOVA1,7.79477080968985,0.698228648339432
NSUN2,4.96982774905226,0.673315575252124
NUPL2,6.70639796696551,0.406565018011471
PABPC3,6.40980318301141,0.528780168925206
PABPN1L,5.40361685250962,0.574038181038839
PCBP1,6.07737331522702,0.356460618522102
PCBP2,15.5171358696927,0.580444310652085
PCBP4,4.45601944249949,0.38625171649124
PPP1R10,8.68415092711608,0.666935097037896
PRR3,9.46039313302141,0.695250881789831
PUF60,5.76262932638264,0.574358347537358
PUM1,10.6345636862029,0.757226549779891
RALYL,12.9474519493503,0.654140278404256
RBFOX3,17.157940727663,0.915025679241252
RBM15B,7.89336378029923,0.508435369457322
RBM20,8.94118842141614,0.712558451866116
RBM22,12.7595258381831,0.886529839908267
RBM23,2.03720748702417,0.244229835511392
RBM24,3.82162021326108,0.515174405140631
RBM25,2.52928688746445,0.283311061594406
RBM3,1.61848085006281,0.163862638020223
RBM4,2.95832185949586,0.418376372217854
RBM41,4.75396782112191,0.662934429046791
RBM45,4.84756726582281,0.584850601229707
RBM47,4.0970810030624,0.559957782017418
RBM4B,9.13135379476292,0.693161846658226
RBM5,3.91816961820493,0.34478510264145
RBM6,3.12619698444819,0.505178897865989
RBMS2,8.87421083736706,0.66448165663959
RBMS3,11.0073022053828,0.695366975502956
RC3H1,3.40678009456419,0.38603647375059
SAFB2,3.82316397543803,0.234569494472702
SF1,8.26199997723986,0.713979426708822
SF3B6,1.63668595794375,0.151374071218251
SFPQ,2.97536088409929,0.613501348514558
SNRPA,11.5570619118503,0.816165931199355
SNRPB2,9.88105853009649,0.763134118348897
SRSF10,2.28077550332768,0.417392285039012
SRSF11,1.47642929122289,0.0952074352707338
SRSF2,1.97991161341044,0.328559990017721
SRSF4,1.90361421836187,0.292917514408952
SRSF5,2.16547638700509,0.148617674229427
SRSF8,3.08018915272793,0.481048815568325
SRSF9,2.10983232717661,0.148238494776423
SUCLG1,2.89596750342268,0.326326214816323
TAF15,2.22058629195277,0.21785839779554
TARDBP,2.70155610501824,0.359261226390888
TDRD10,2.58280089891438,0.338065075714317
TIA1,4.01251951124753,0.517950674726847
TRA2A,5.36685875155204,0.587459508095452
TRA2B,3.12027221784347,0.451936318732628
TRNAU1AP,10.2334186282248,0.577383675039936
TROVE2,2.5114693490862,0.305585974941377
UNK,7.87694691837214,0.744755705455372
XRCC6,2.62909312802967,0.463446804566188
ZC3H10,22.7744792839521,0.800015720979482
ZC3H18,3.14587229614753,0.519592237773958
ZCRB1,4.59001186369388,0.722226982759613
ZFP36,16.398805243808,0.766703102526404
ZFP36L1,13.2624678429148,0.694238059187263
ZFP36L2,14.6778706563625,0.680877963016781
ZNF326,2.526744997907,0.308970796874479
ZRANB2,2.84948844052875,0.525404177691791
