RBP,SI,MS
A1CF,21.4347613232587,0.658976897953371
BOLL,69.5199118769782,0.629877454679446
CELF1,15.3445306465598,0.48253955776858
CNOT4,5.71740488095541,0.389806216664983
CPEB1,15.6613977610085,0.619434833141183
DAZ3,8.52026943471365,0.210976381225115
DAZAP1,5.88815346919417,0.365131984089647
EIF4G2,3.07623089663801,0.54833508762507
ELAVL4,120.777851679692,0.47548273431229
FUBP1,3.75928675887322,0.19824613780996
FUBP3,23.9967886983873,0.451186631312591
HNRNPA0,20.3423310647531,0.690264756251555
HNRNPA2B1,3.91766120095317,0.373300923638931
HNRNPCL1,94.4412111531921,0.728486751468371
HNRNPD0,10.3240808660055,0.477017433990422
HNRNPDL,5.16614654975423,0.42780752884982
HNRNPF,7.86237538391771,0.473412676426661
HNRNPL,32.6771991119738,0.584577920306145
IGF2BP2,4.98615649179069,0.756929230123727
IGF2BP3,2.98120209100941,0.208346474627879
ILF2,4.12164812706773,0.210342956073175
KHDRBS2,42.1220188589312,0.546118204427394
KHDRBS3,20.8708318095119,0.857908240672543
KHSRP,4.09524163629636,0.426052479029766
MBNL1,9.82655079391182,0.524599346866374
MSI1,28.48473557717,0.675545039208505
NOVA1,32.9629595692678,0.655932947826641
NUPL2,11.8759529353378,0.254366976631818
PABPN1L,14.5302989125338,0.459440970117433
PCBP1,12.748811559,0.46663527073955
PCBP2,47.708661495642,0.380687566556034
PCBP4,8.60891323924824,0.464126481590128
PPP1R10,19.2722229734066,0.529966519285571
PRR3,96.640957832004,0.916163348156661
PTBP3,8.62678957562165,0.342106903643692
PUM1,47.5594468431089,0.694236583657697
RALYL,48.6080572107335,0.615549805895503
RBFOX2,38.8003714706368,0.734982271932692
RBFOX3,155.476623462507,0.781058457725859
RBM15B,21.3374050606794,0.458804665115864
RBM20,23.077670020504,0.536418869348359
RBM22,259.74045711795,0.927109288660744
RBM24,12.2423481903817,0.76217260987758
RBM25,3.01398582638427,0.200380478137638
RBM3,1.79403818089744,0.112313946607638
RBM4,3.95941145474382,0.438606725371181
RBM41,24.9350082990082,0.694938568406216
RBM45,21.6745177478779,0.639814808407759
RBM47,9.22247226664933,0.479127252198346
RBM4B,23.0474790359669,0.572879254911264
RBM5,3.63040663270553,0.209253705455756
RBM6,8.5264459196841,0.665854292698179
RBMS2,16.3777542659435,0.382619523036552
RBMS3,22.7073568731447,0.435018484252233
RC3H1,7.0369199492241,0.555390314854805
SF1,19.9663545979206,0.562898456860332
SF3B6,1.91203783681042,0.215334349777752
SFPQ,3.32942991756958,0.460452410535509
SNRPA,24.4660438990536,0.657694335608065
SRSF11,1.79099232634792,0.222679426953298
SRSF4,1.88937063320149,0.207699337659907
SRSF9,3.10616159760766,0.305020064352603
TARDBP,6.82887781235714,0.52206825726622
TDRD10,3.34147865619027,0.319332475307887
TIA1,11.3665927651865,0.602220481271476
TRA2A,26.7649419859678,0.649350941988294
TRNAU1AP,62.6826363851482,0.687579519085217
UNK,17.3057506511786,0.588680263740572
ZC3H18,6.01565023420521,0.356598021975649
ZCRB1,9.68931806599539,0.655866361205149
ZFP36,228.708362012736,0.907990386877296
ZFP36L1,80.7433232453546,0.788890541955476
ZFP36L2,85.4843286358764,0.834011768330391
ZNF326,19.729234320349,0.873227264875519
