RBP,IS_K562,IS_HepG2,IS_avg,VS_K562,VS_HepG2,VS_avg
AARS,2.833074173256042,NA,NA,0.33121186167854083,NA,NA
AATF,7.202448344061425,NA,NA,0.7186895161661776,NA,NA
ABCF1,2.549878857144436,NA,NA,0.4022666647893946,NA,NA
ADAT1,4.939390647857247,NA,NA,0.559271042028163,NA,NA
AGGF1,16.744735499430313,11.097908146103226,14.799968150838723,0.8101500792685163,0.7729606430613635,0.7988334357850085
AKAP1,3.8857843910032783,2.872000183665605,4.479508565385154,0.2510655655995111,0.371012631567784,0.29832438585021587
AKAP8L,5.167398807207474,NA,NA,0.38279189542754977,NA,NA
APEX1,3.883101588679584,NA,NA,0.6054902744306614,NA,NA
APOBEC3C,4.404047384822003,NA,NA,0.5494682680907436,NA,NA
AQR,2.1367077070802134,2.2432058577341007,2.18306886862028,0.22149000656046186,0.23293538807564818,0.22721269731805502
BCCIP,NA,3.350668100364198,NA,NA,0.3950081241050405,NA
BCLAF1,NA,4.11451477197606,NA,NA,0.5189757582769122,NA
BUD13,2.1904411636054126,2.1043639122409474,2.154129748026779,0.25076123158866936,0.21234557376534074,0.23155340267700505
CDC40,NA,4.312251156330817,NA,NA,0.7048555649000603,NA
CPEB4,12.40668954442152,NA,NA,0.7515372940494088,NA,NA
CPSF6,7.905792291333417,NA,NA,0.6974062037672304,NA,NA
CSTF2,NA,4.112210633622838,NA,NA,0.6116095304673199,NA
CSTF2T,8.502421946091282,4.850638262909122,7.576781277361087,0.3923042249377426,0.33836543031688326,0.3767704329100051
DDX1,4.691343801097648,NA,NA,0.3579351420679115,NA,NA
DDX21,3.4112128811900035,NA,NA,0.33804353380247043,NA,NA
DDX24,2.0337497301134477,NA,NA,0.38337063928303966,NA,NA
DDX3X,2.5698524972467762,3.282722149412833,2.9471466502456156,0.35841495741181484,0.4086250930539115,0.389273509864984
DDX42,4.608993421093902,NA,NA,0.3851041477078747,NA,NA
DDX43,1.7270978444168543,NA,NA,0.3350221335654915,NA,NA
DDX47,3.627559468522866,NA,NA,0.25992557336430844,NA,NA
DDX51,5.609171331983268,NA,NA,0.40972747306550067,NA,NA
DDX52,5.716082044577684,1.5433874514891959,2.285722544361496,0.36654642618293065,0.29289463415616973,0.22922002172719716
DDX55,4.916169635631794,4.6589162375478885,6.558266436109686,0.4698437925855221,0.4953822294292225,0.5686881680769171
DDX59,NA,8.333238364768302,NA,NA,0.4658306486811476,NA
DDX6,7.617159893316097,2.941918650603943,4.2133042391057725,0.4524846902998061,0.4476120561949992,0.398687541586155
DGCR8,2.3955509964081965,3.8162365700670726,2.9678506931363953,0.2258312008605384,0.314391589232704,0.2701113950466212
DHX30,4.7134876156033325,2.9611856610840754,4.593838524427047,0.37004960699441614,0.4536710781825649,0.33045279235569247
DKC1,NA,14.52998372399239,NA,NA,0.8221187554737943,NA
DROSHA,5.472678984060203,4.344610707285833,4.792685152377526,0.37938481290004317,0.3522376298403255,0.36581122137018435
EEF2,3.2816732761925937,NA,NA,0.49164455921969397,NA,NA
EFTUD2,3.5073992521647246,3.9049048422244588,3.611228881971549,0.34340733933468276,0.3395491121513735,0.3414782257430281
EIF3D,NA,1.750012055094416,NA,NA,0.19055568684823035,NA
EIF3G,2.2549507125901895,NA,NA,0.32260106755772683,NA,NA
EIF3H,NA,1.8516005667736617,NA,NA,0.27543987394271113,NA
EIF4E,4.011947844638077,NA,NA,0.4919554911357591,NA,NA
EIF4G2,10.79475552298498,NA,NA,0.819805240617197,NA,NA
ELAC2,14.857273054804418,NA,NA,0.830186312782456,NA,NA
ELAVL1,16.69689481746795,NA,NA,0.6976632880727615,NA,NA
EWSR1,5.733099023881708,NA,NA,0.3551382847034455,NA,NA
EXOSC10,2.7481956557545404,NA,NA,0.4983641427995011,NA,NA
EXOSC5,8.090006410356104,3.053206655272875,3.2914253055078637,0.582917265042412,0.3497459038969789,0.41760258701830777
FAM120A,5.846667771464425,8.005601765414752,10.806024082260446,0.4761842933490072,0.4035863797982969,0.4692178224557548
FASTKD2,8.394288564254428,4.563457276489843,6.425608589114208,0.46943774733574073,0.3555671744758366,0.4187461172228236
FKBP4,NA,7.9653363091978076,NA,NA,0.3844131457908668,NA
FMR1,1.7204188526237247,NA,NA,0.27304311597309827,NA,NA
FTO,4.768982040735108,2.823563172493984,3.1859357047582813,0.26222104395268164,0.38540951645785676,0.3692681154035468
FUBP3,NA,7.404225520453616,NA,NA,0.4423119703283083,NA
FUS,4.072090926019172,3.0458414197593346,3.4885939622496482,0.28292744505606005,0.2751923747080065,0.2790599098820333
FXR1,1.538648274503194,NA,NA,0.29145001592190667,NA,NA
FXR2,1.5987464206066528,2.272001737902312,1.6949585923255055,0.21254914724006999,0.4059976644642145,0.29080844755713436
G3BP1,NA,1.8778631828540286,NA,NA,0.33610266085289314,NA
GARS,1.92616120082632,NA,NA,0.32698297062437914,NA,NA
GEMIN5,3.732264389793775,NA,NA,0.432790779012991,NA,NA
GNL3,2.3835652918850494,NA,NA,0.6845507241803335,NA,NA
GPKOW,4.433671138129696,NA,NA,0.49869462929534714,NA,NA
GRSF1,NA,4.441338145737596,NA,NA,0.35155661954936035,NA
GRWD1,2.4614755738267693,1.767708410533083,2.067346743741265,0.4291011950807364,0.33459865759952734,0.3818499263401319
GTF2F1,6.731839849049259,4.618911378370039,5.471756566984837,0.41830544751025706,0.3768254130882663,0.39756543029926167
HLTF,4.797223631692069,2.315213343361929,3.8291266168951514,0.48870228098170665,0.3983882161840021,0.4678502958025453
HNRNPA1,1.489781024558989,1.6628834661425957,1.476084640641985,0.1954238670248214,0.3256233118087316,0.2213193638064347
HNRNPC,17.155984739794714,13.756164150784562,15.235492596987903,0.8915717792231758,0.8723516078149449,0.8819616935190603
HNRNPK,4.991864130659679,5.454940218550037,5.204124304902677,0.3980944865272328,0.427400088415295,0.4127472874712639
HNRNPL,10.622723482127984,7.799114474048805,9.090289661456696,0.792384948303876,0.7477750262866586,0.7700799872952673
HNRNPM,2.0486421518939912,2.4152851573088467,2.432832467231693,0.3220523269306765,0.3538846734729725,0.3617139006386689
HNRNPU,2.1586131164372526,3.066166893211308,2.6013855514222866,0.23395379193075533,0.4155946591748705,0.24385783224849744
HNRNPUL1,2.9644779590926387,3.4348332033976017,3.583152224644122,0.4263860061009601,0.2732160629108229,0.31033326488746604
